lu_id,leaving_group,exp_dg_kcal,delta_g_qh_kcal,source_model
1,Br,15.38133895568714,16.853295486389474,smd
2,Br,16.93179541019101,23.41052103588623,smd
3,Br,17.276164820342757,19.89511413337169,smd
4,Br,17.449167696649315,19.940501216739698,smd
5,Br,18.383904585859263,24.48897845009143,smd
6,Br,18.39680453301273,21.57815321749392,smd
7,Br,18.402205206485046,24.95958149456281,smd
8,Br,18.789278076067824,22.946828563742457,smd
9,Br,19.59444268299916,30.359966883791667,smd
11,Br,20.60676350158621,25.338571002929104,smd
12,Br,21.56357575987488,26.62853029466689,smd
13,Br,22.08695538648724,27.990116279931367,smd
14,Br,22.684749765083883,29.00087735536092,smd
15,Cl,14.670315172120704,17.181691347985314,smd
16,Cl,14.82648328039321,16.985958992585964,smd
17,Cl,15.303346490090597,16.695226205735782,smd
18,Cl,16.187947239503053,15.1538713697628,smd
19,Cl,16.208638141084208,19.31082527715875,smd
22,Cl,16.876562163359953,19.99656803543303,smd
23,Cl,17.08753307938852,20.9711666199793,smd
24,Cl,17.133893854945104,18.80976554035769,smd
25,Cl,17.252316534464217,29.02937135949528,smd
26,Cl,17.311371521004585,20.427356453305173,smd
27,Cl,17.486938640248294,23.198088522920116,smd
28,Cl,17.51236310360015,20.58262167646104,smd
29,Cl,17.67432466938024,24.45904053246383,smd
30,Cl,17.77486554805979,24.234496320413445,smd
31,Cl,17.85295710082811,21.878585427427264,smd
32,Cl,18.104080518343537,23.97141416603613,smd
33,Cl,18.308589521245587,25.540118179436284,smd
34,Cl,18.31345901940706,24.695431068539172,smd
35,Cl,18.346599951358368,24.49823481308194,smd
37,Cl,18.446281629043614,24.38841561090601,smd
38,Cl,18.451836768005663,25.63770519827341,smd
39,Cl,18.488482994155454,25.065983056750195,smd
40,Cl,18.568047733571223,22.16104873276185,smd
41,Cl,18.85979550968671,24.424612991689013,smd
42,Cl,19.068132333494084,26.185887696000517,smd
43,Cl,19.092223085657853,23.69003438888514,smd
44,Cl,19.24134750427988,26.125672067958583,smd
45,Cl,19.38140088533963,23.837511959678125,smd
46,Cl,19.389521944073373,28.134899603084214,smd
47,Cl,19.649756433946344,26.499175373516564,smd
48,Cl,19.691298825069318,24.69064394284368,smd
49,Cl,19.748866155726624,25.757796588518826,smd
50,Cl,19.84738987679612,32.10950148156063,smd
51,Cl,20.261762282420516,26.3919995016484,smd
52,Cl,20.60931268713092,26.99571099805637,smd
54,Cl,20.97840772818937,28.47254181273669,smd
55,Cl,21.16612230425556,28.03981665351207,smd
56,Cl,21.223709369024856,26.871208738196074,smd
57,Cl,21.308814926150152,26.883830482730225,smd
58,Cl,21.65342846607083,27.96053336333088,smd
59,Cl,21.655823776807942,27.06281806137284,smd
60,Cl,21.708412199046023,27.46875546109898,smd
61,Cl,21.810703300255444,27.624620657866952,smd
62,Cl,21.91485487724187,26.8113025632928,smd
63,Cl,22.527533000449218,28.4782886797673,smd
64,Cl,22.550835983895336,29.44444799341396,smd
65,Cl,22.852511009500407,31.206518967009305,smd
66,F,17.35071120489037,25.651741716798288,smd
67,F,17.922106276956992,26.5227951733809,smd
68,F,18.9731351106211,27.045145618406725,smd
69,F,18.97683508503868,26.595350472801748,smd
70,F,19.32448003007639,28.757538044976137,smd
71,F,19.408715006308427,27.98944448635087,smd
72,F,19.63690520528882,30.756881415859947,smd
73,F,21.59605766338524,31.166397483460965,smd
74,F,21.804780525867027,31.616494215447783,smd
